"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41"
-0.0145020774087215,-0.0758216896814378,-0.018973254912333,-0.0259713691517384,-0.0198814712769814,-0.0129154191616796,-0.0121024388100196,-0.0123128793478175,-0.00760151407846323,-0.00878205593057397,-0.0145083077300737,-0.0364851843877053,-0.018671735946869,-0.0164882544935811,-0.019707938133144,-0.0136957074032804,-0.0141294342357631,-0.0216430883779047,-0.0133342312559946,-0.00886499508166468,-0.0172634539690948,-0.0218518480760296,-0.0180523580514798,-0.0189081133036474,-0.0241711877086635,-0.0257670520954651,-0.0289582539892182,-0.0268809025858527,-0.0138934251161043,-0.009722409832205,-0.0157442564871686,-0.0541002331550337,-0.0200444179250618,-0.0251846277957446,-0.0262659241952812,-0.0164688852354009,-0.0199977471540059,-0.0146029456958776,-0.0109618660863822,-0.00840191064688441
-0.017909568465034,-0.0574107290171982,-0.0194823444428014,-0.0259013524074574,-0.0198814713380432,-0.0129154192065,-0.0148522250591197,-0.0123435115855273,-0.00760151412002437,-0.00941753956917168,-0.0143737729275851,-0.0194934884545754,-0.019108721718104,-0.0183020086641765,-0.0196044140164147,-0.014276653047832,-0.0155331797823613,-0.0216430884865533,-0.0133342311507,-0.0088649949826869,-0.0150780881530067,-0.0211828245391181,-0.0178465581531406,-0.0199090452993399,-0.0241711878075079,-0.0259948040627464,-0.0278545418674942,-0.0272278603194764,-0.0138934251891093,-0.0109286617883687,-0.0158601884216216,-0.0304660835155486,-0.0203447349520777,-0.0251113560664238,-0.0262659242986149,-0.0164625109444529,-0.019934971877651,-0.0146029457374092,-0.0110229161132001,-0.00889848360774534
-0.019531720825983,-0.0441007902269757,-0.0195223521810069,-0.0258953073117577,-0.0198814713380432,-0.0129154192065,-0.0159880497458695,-0.0123436683589065,-0.00760151412002437,-0.00954875309578719,-0.0143658235701238,-0.0164719205929356,-0.0191513651311913,-0.0187426235216763,-0.0195865896234753,-0.0143802943877141,-0.0160225147292086,-0.0216430884865533,-0.0133342311507,-0.0088649949826869,-0.0148476094125492,-0.0211806545078753,-0.017820132885409,-0.0200163848273782,-0.0241711878075079,-0.0260260119689109,-0.0274209671764043,-0.0272375811950698,-0.0138934251891093,-0.0112163510758749,-0.0158841610101707,-0.0212172815532838,-0.0203615044002898,-0.0251107117463419,-0.0262659242986149,-0.0164624664476086,-0.019927940779068,-0.0146029457374092,-0.0110238913332384,-0.0089655890356254
-0.020367517512288,-0.0346527711293168,-0.0195255392651319,-0.0258947861425514,-0.0198814713380432,-0.0129154192065,-0.0164948840033193,-0.0123436691622455,-0.00760151412002437,-0.0095769508891885,-0.0143653560821953,-0.0160847410534316,-0.0191555713380212,-0.0188551726850483,-0.0195835283464671,-0.0143991522199045,-0.0162005269195232,-0.0216430884865533,-0.0133342311507,-0.0088649949826869,-0.0148248410118658,-0.0211806475865991,-0.0178167586576344,-0.0200281577465329,-0.0241711878075079,-0.0260303088774486,-0.0272535935296697,-0.0272378552357291,-0.0138934251891093,-0.0112885146402984,-0.015889133460887,-0.0182990707598593,-0.020362447270457,-0.0251107060882944,-0.0262659242986149,-0.0164624661370489,-0.0199271545126732,-0.0146029457374092,-0.0110239069546851,-0.00897492832949194
-0.020811913544567,-0.0281267678163918,-0.0195257934224979,-0.0258947412162939,-0.0198814713380432,-0.0129154192065,-0.0167273831583416,-0.012343669166362,-0.00760151412002437,-0.00958305892770342,-0.0143653285977633,-0.0160389843896939,-0.0191559866554651,-0.0188842559304031,-0.0195830028095386,-0.0144025953355665,-0.0162661929695311,-0.0216430884865533,-0.0133342311507,-0.0088649949826869,-0.0148226079687581,-0.021180647564525,-0.0178163281137174,-0.0200294520616425,-0.0241711878075079,-0.0260309008925353,-0.0271894384582908,-0.0272378629625257,-0.0138934251891093,-0.0113068236489727,-0.0158901655164133,-0.0175095233570652,-0.0203625003041089,-0.0251107060386093,-0.0262659242986149,-0.0164624661348813,-0.0199270666025088,-0.0146029457374092,-0.0110239072049264,-0.00897623317613873
-0.0210517381411953,-0.0237809594326433,-0.0195258136922514,-0.0258947373435653,-0.0198814713380432,-0.0129154192065,-0.0168352826679108,-0.0123436691663831,-0.00760151412002437,-0.00958438425760898,-0.0143653269819322,-0.0160336361972053,-0.0191560276677687,-0.0188917931007252,-0.0195829125960097,-0.0144032243835054,-0.0162905364144228,-0.0216430884865533,-0.0133342311507,-0.0088649949826869,-0.0148223891168913,-0.0211806475644546,-0.0178162731823175,-0.0200295943956942,-0.0241711878075079,-0.0260309824659581,-0.0271649156166725,-0.02723786318039,-0.0138934251891093,-0.0113114820639298,-0.015890379752716,-0.0173087315426738,-0.0203625032871589,-0.025110706038173,-0.0262659242986149,-0.0164624661348662,-0.0199270567737236,-0.0146029457374092,-0.011023907208935,-0.00897641558220123
-0.0211821444597847,-0.0210075048867635,-0.0195258153088312,-0.025894737009729,-0.0198814713380432,-0.0129154192065,-0.0168856175842072,-0.0123436691663832,-0.00760151412002437,-0.00958467193471202,-0.0143653268869364,-0.016033011903204,-0.0191560317177455,-0.0188937478881669,-0.0195828971101763,-0.0144033393220153,-0.0162995772726427,-0.0216430884865533,-0.0133342311507,-0.0088649949826869,-0.0148223676695805,-0.0211806475644544,-0.0178162661739189,-0.0200296100484214,-0.0241711878075079,-0.0260309937060536,-0.027155551932639,-0.0272378631865328,-0.0138934251891093,-0.0113126681649865,-0.0158904242255681,-0.017258583453386,-0.0203625034549504,-0.0251107060381691,-0.0262659242986149,-0.0164624661348661,-0.0199270556748199,-0.0146029457374092,-0.0110239072089993,-0.00897644108288311
-0.0212533367059871,-0.0193105396433409,-0.0195258154377589,-0.0258947369809517,-0.0198814713380432,-0.0129154192065,-0.0169091546008305,-0.0123436691663832,-0.00760151412002437,-0.00958473438308066,-0.0143653268813515,-0.0160329390406243,-0.0191560321176823,-0.0188942549665517,-0.0195828944519219,-0.0144033603238124,-0.0163029371849349,-0.0216430884865533,-0.0133342311507,-0.0088649949826869,-0.0148223655677754,-0.0211806475644544,-0.0178162652797568,-0.0200296117697849,-0.0241711878075079,-0.0260309952548419,-0.0271519780106503,-0.0272378631867061,-0.0138934251891093,-0.0113129702186238,-0.0158904334576442,-0.017246117601097,-0.0203625034643884,-0.0251107060381691,-0.0262659242986149,-0.0164624661348661,-0.0199270555519574,-0.0146029457374092,-0.0110239072090003,-0.00897644464795994
-0.0212922855867466,-0.0183085382056459,-0.0195258154480413,-0.0258947369784711,-0.0198814713380432,-0.0129154192065,-0.0169201728409563,-0.0123436691663832,-0.00760151412002437,-0.00958474793948104,-0.0143653268810232,-0.0160329305368421,-0.0191560321571762,-0.018894386511001,-0.0195828939956137,-0.0144033641613179,-0.0163041861608,-0.0216430884865533,-0.0133342311507,-0.0088649949826869,-0.0148223653618018,-0.0211806475644544,-0.0178162651656757,-0.0200296119590869,-0.0241711878075079,-0.0260309954682517,-0.0271506141327003,-0.0272378631867109,-0.0138934251891093,-0.0113130471434495,-0.0158904353741241,-0.0172430224834262,-0.0203625034649193,-0.0251107060381691,-0.0262659242986149,-0.0164624661348661,-0.0199270555382208,-0.0146029457374092,-0.0110239072090003,-0.00897644514636981
-0.0213136190066375,-0.0177321806000166,-0.0195258154488613,-0.0258947369782572,-0.0198814713380432,-0.0129154192065,-0.0169253333949102,-0.0123436691663832,-0.00760151412002437,-0.00958475088233901,-0.0143653268810039,-0.0160329295443688,-0.0191560321610762,-0.0188944206362342,-0.0195828939172851,-0.0144033648625178,-0.0163046504838099,-0.0216430884865533,-0.0133342311507,-0.0088649949826869,-0.0148223653416166,-0.0211806475644544,-0.0178162651511208,-0.0200296119799049,-0.0241711878075079,-0.0260309954976577,-0.0271500936814779,-0.0272378631867111,-0.0138934251891093,-0.0113130667343357,-0.0158904357719649,-0.0172422542294578,-0.0203625034649491,-0.0251107060381691,-0.0262659242986149,-0.0164624661348661,-0.019927055536685,-0.0146029457374092,-0.0110239072090003,-0.00897644521604922
